VCD info: dumpfile alu.vcd opened for output.
tiempo=1610 A=1010 B=0001 c_in=0 L=0 OP=00 R=1010, Z=0, C=0, S=1. ---- OK
tiempo=1620 A=1010 B=0010 c_in=0 L=0 OP=00 R=1010, Z=0, C=0, S=1. ---- OK
tiempo=1630 A=1010 B=0011 c_in=0 L=0 OP=00 R=1010, Z=0, C=0, S=1. ---- OK
tiempo=1640 A=1010 B=0100 c_in=0 L=0 OP=00 R=1010, Z=0, C=0, S=1. ---- OK
tiempo=1650 A=1010 B=0101 c_in=0 L=0 OP=00 R=1010, Z=0, C=0, S=1. ---- OK
tiempo=1660 A=1010 B=0110 c_in=0 L=0 OP=00 R=1010, Z=0, C=0, S=1. ---- OK
tiempo=1670 A=1010 B=0111 c_in=0 L=0 OP=00 R=1010, Z=0, C=0, S=1. ---- OK
tiempo=1680 A=1010 B=1000 c_in=0 L=0 OP=00 R=1010, Z=0, C=0, S=1. ---- OK
tiempo=1690 A=1010 B=1001 c_in=0 L=0 OP=00 R=1010, Z=0, C=0, S=1. ---- OK
tiempo=1700 A=1010 B=1010 c_in=0 L=0 OP=00 R=1010, Z=0, C=0, S=1. ---- OK
tiempo=1710 A=1010 B=1011 c_in=0 L=0 OP=00 R=1010, Z=0, C=0, S=1. ---- OK
tiempo=1720 A=1010 B=1100 c_in=0 L=0 OP=00 R=1010, Z=0, C=0, S=1. ---- OK
tiempo=1730 A=1010 B=1101 c_in=0 L=0 OP=00 R=1010, Z=0, C=0, S=1. ---- OK
tiempo=1740 A=1010 B=1110 c_in=0 L=0 OP=00 R=1010, Z=0, C=0, S=1. ---- OK
tiempo=1750 A=1010 B=1111 c_in=0 L=0 OP=00 R=1010, Z=0, C=0, S=1. ---- OK
tiempo=1760 A=1011 B=0000 c_in=0 L=0 OP=00 R=1011, Z=0, C=0, S=1. ---- OK
tiempo=1770 A=1011 B=0001 c_in=0 L=0 OP=00 R=1011, Z=0, C=0, S=1. ---- OK
tiempo=1780 A=1011 B=0010 c_in=0 L=0 OP=00 R=1011, Z=0, C=0, S=1. ---- OK
tiempo=1790 A=1011 B=0011 c_in=0 L=0 OP=00 R=1011, Z=0, C=0, S=1. ---- OK
tiempo=1800 A=1011 B=0100 c_in=0 L=0 OP=00 R=1011, Z=0, C=0, S=1. ---- OK
tiempo=1810 A=1011 B=0101 c_in=0 L=0 OP=00 R=1011, Z=0, C=0, S=1. ---- OK
tiempo=1820 A=1011 B=0110 c_in=0 L=0 OP=00 R=1011, Z=0, C=0, S=1. ---- OK
tiempo=1830 A=1011 B=0111 c_in=0 L=0 OP=00 R=1011, Z=0, C=0, S=1. ---- OK
tiempo=1840 A=1011 B=1000 c_in=0 L=0 OP=00 R=1011, Z=0, C=0, S=1. ---- OK
tiempo=1850 A=1011 B=1001 c_in=0 L=0 OP=00 R=1011, Z=0, C=0, S=1. ---- OK
tiempo=1860 A=1011 B=1010 c_in=0 L=0 OP=00 R=1011, Z=0, C=0, S=1. ---- OK
tiempo=1870 A=1011 B=1011 c_in=0 L=0 OP=00 R=1011, Z=0, C=0, S=1. ---- OK
tiempo=1880 A=1011 B=1100 c_in=0 L=0 OP=00 R=1011, Z=0, C=0, S=1. ---- OK
tiempo=1890 A=1011 B=1101 c_in=0 L=0 OP=00 R=1011, Z=0, C=0, S=1. ---- OK
tiempo=1900 A=1011 B=1110 c_in=0 L=0 OP=00 R=1011, Z=0, C=0, S=1. ---- OK
tiempo=1910 A=1011 B=1111 c_in=0 L=0 OP=00 R=1011, Z=0, C=0, S=1. ---- OK
tiempo=1920 A=1100 B=0000 c_in=0 L=0 OP=00 R=1100, Z=0, C=0, S=1. ---- OK
tiempo=1930 A=1100 B=0001 c_in=0 L=0 OP=00 R=1100, Z=0, C=0, S=1. ---- OK
tiempo=1940 A=1100 B=0010 c_in=0 L=0 OP=00 R=1100, Z=0, C=0, S=1. ---- OK
tiempo=1950 A=1100 B=0011 c_in=0 L=0 OP=00 R=1100, Z=0, C=0, S=1. ---- OK
